"pcis_permit","permit_type","permit_sub_type","initiating_office","issue_date","address_start","street_name","street_suffix","zip_code","work_description","valuation","of_residential_dwelling_units","of_stories","contractors_business_name","contractor_address","contractor_city","license","principal_first_name","principal_last_name","license_expiration_date","applicant_first_name","applicant_last_name","applicant_business_name","zone","council_district"
"16010-10003-05334","Bldg-Alter/Repair","Apartment","METRO","2023-05-19T00:00:00.000","900","NORTH SPRING","ST","90012","<Foundation only permit>   New 7- story over 1- level of basement irre","40750000",,,"OWNER-BUILDER",,,"0",,,,"JENNI",,,"UC(CA)","1"
"23016-20000-06475","Bldg-Alter/Repair","Commercial","VAN NUYS","2023-05-19T00:00:00.000","6600","TOPANGA CANYON","BLVD","91303","EPLAN:  Commercial tenant improvement interior remodel and new storefr","750000",,,,,,"622681","LYNN","HURST",,"Mary Ann","Perry",,"(WC)UPTOWN-SN-RIO","3"
"23016-10000-00377","Bldg-Alter/Repair","Commercial","METRO","2023-05-19T00:00:00.000","1324","15TH","ST","90021","**EPLAN**  Tenant Improvement to existing commercial kitchen on first","1500000",,,,,,"1068861","ARA","GREGORIAN",,"Jonathan","Matson",,"M2-2D","14"
"22010-20000-02816","Bldg-New","1 or 2 Family Dwelling","VAN NUYS","2023-05-19T00:00:00.000","412","EDINBURGH","AVE","90048","NEW 2-STORY SFD (2997 SQFT) OVER BASEMENT (1872 SQFT) W/ROOF DECK, (34","600000","1","2","OWNER-BUILDER",,,"0",,,"2000-01-01T00:00:00.000","ALI","MEHDIZADEH",,"R1-1-O-RFA","5"
"22016-10000-31305","Bldg-Alter/Repair","Commercial","METRO","2023-05-19T00:00:00.000","1300","VERMONT","AVE","90027","EPLAN  TO RECONFIGURE THE EXISTING FETAL DIAGNOSTIC CLINIC ON THE 10TH","1077977",,,,,,"921615","GREGORY","HORVATH",,"Anna","Higane",,"C2-CSA1","13"
"22016-20000-17841","Bldg-Alter/Repair","Commercial","VAN NUYS","2023-05-18T00:00:00.000","9301","TAMPA","AVE","91324","ePLAN. TENANT IMPROVEMENT FOR BEAUTY SALON. CHANGE OF USE FROM RETAIL","900000",,,,,,"643863","DAVID","HUFFMAN",,"David","Huffman",,"C4-1","12"
"22014-10000-01549","Bldg-Addition","1 or 2 Family Dwelling","METRO","2023-05-18T00:00:00.000","1943","LAUGHLIN PARK","DR","90027","REMODEL AND ADDITION TO  SINGLE FAMILY DWELLING WITH ATTTACHED GARAGE","579000",,"3","HARTMAN BALDWIN INC","100 WEST FOOTHILL BLVD","CLAREMONT","653340","DEVON","HARTMAN","2024-09-30T00:00:00.000","MICHAEL","NORBERG",,"RE11-1","4"
"22010-10001-00921","Bldg-Alter/Repair","Commercial","METRO","2023-05-18T00:00:00.000","5420","SUNSET","BLVD","90027","**EARLY START, FOUNDATION ONLY PEMIRT( CONSTRUCTION FROM  2 LEVLES BAS","50333750",,,"OWNER-BUILDER",,,"0",,,"2000-01-01T00:00:00.000","JASON","SHENG",,"C2-1","13"
"22010-20000-02432","Bldg-New","1 or 2 Family Dwelling","VAN NUYS","2023-05-17T00:00:00.000","12917","ADDISON","ST","91423","NEW 2-STORY SFD (3520 SQFT) W/ATT. 2-CAR GARAGE (390 SQFT), AND ATTACH","850000","1","2","OWNER-BUILDER",,,"0",,,,"VALENTINE","JANEV",,"RE15-1","4"
"22010-20000-02433","Bldg-New","1 or 2 Family Dwelling","VAN NUYS","2023-05-17T00:00:00.000","12915","ADDISON","ST","91423","NEW 2-STORY SFD (3520 SQFT) W/ATT. 2-CAR GARAGE (390 SQFT), AND ATTACH","600000","1","2","OWNER-BUILDER",,,"0",,,,"VALENTINE","JANEV",,"RE15-1","4"
